Period,Debt to Equity Ratio (Quarterly)
2016-09-30,0.4036
2016-06-30,0.4085
2016-03-31,0.4135
2015-12-31,0.4490
2015-09-30,0.8117
2015-06-30,0.8250
2015-03-31,0.8478
2014-12-31,0.8307
2014-09-30,0.8469
2014-06-30,0.8614
2014-03-31,0.9348
2013-12-31,0.9440
2013-09-30,-1.4782
2013-06-30,-1.3202
2013-03-31,None
2012-12-31,-2.4008
