Period,Free Cash Flow (Quarterly)
2016-09-30,20.8660
2016-06-30,13.8340
2016-03-31,11.0760
2015-12-31,13.1350
2015-09-30,22.2180
2015-06-30,20.4410
2015-03-31,15.1660
2014-12-31,13.6710
2014-09-30,19.2080
2014-06-30,16.6640
2014-03-31,12.0180
2013-12-31,12.6890
2013-09-30,13.1580
2013-06-30,13.9630
2013-03-31,8.9190
