Period,Debt to Equity Ratio (Quarterly)
2013-09-30,0.0000
2013-06-30,0.0000
2013-03-31,0.0000
2012-12-31,0.0780
2012-09-30,None
2012-06-30,None
2012-03-31,None
2011-12-31,0.0000
