Period,Free Cash Flow (Quarterly)
2016-09-30,19.9280
2016-06-30,9.2840
2016-03-31,14.5630
2015-12-31,20.9630
2015-09-30,14.8420
2015-06-30,14.1030
2015-03-31,18.4390
2014-12-31,21.3540
2014-09-30,20.8270
2014-06-30,17.2590
2014-03-31,4.7480
2013-12-31,14.6320
2013-09-30,12.8450
2013-06-30,2.1650
2013-03-31,12.6630
2012-12-31,12.0450
2012-09-30,13.3690
2012-06-30,7.7490
2012-03-31,8.3090
2011-12-31,9.4080
