INDEX,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
82,stocktwits,HD,1.652,2.268,-0.616,5,5,1,22,3496,9/8/16,01:10.8
83,stocktwits,HD,1.41,0,1.41,3,0,0,16,3496,9/7/16,01:11.5
84,stocktwits,HD,1.9975,0,1.9975,4,0,0,12,3496,9/6/16,01:28.2
85,stocktwits,HD,2.11,0,2.11,4,0,0,11,3496,9/5/16,01:10.3
86,stocktwits,HD,1.67,0,1.67,1,0,0,4,3496,9/4/16,01:09.7
87,stocktwits,HD,2.0925,0,2.0925,4,0,0,6,3496,9/3/16,01:16.5
88,stocktwits,HD,2.036667,0,2.036667,3,0,0,9,3496,9/2/16,01:21.9
89,stocktwits,HD,1.46,1.05,0.41,2,2,1,11,3496,9/1/16,01:12.3
90,stocktwits,HD,2.15,0,2.15,2,0,0,10,3496,8/31/16,01:13.0
91,stocktwits,HD,1.964,2.24,-0.276,5,4,1.25,21,3496,8/30/16,01:28.3
92,stocktwits,HD,1.98,1.425,0.555,2,2,1,14,3496,8/29/16,01:22.0
93,stocktwits,HD,2.21,0,2.21,2,0,0,9,3496,8/28/16,01:13.6
94,stocktwits,HD,2.036667,1.273333,0.763333,3,3,1,9,3496,8/27/16,01:17.7
95,stocktwits,HD,2,0,2,5,0,0,11,3496,8/26/16,01:13.1
96,stocktwits,HD,1.635,2.19,-0.555,2,2,1,17,3496,8/25/16,01:12.0
97,stocktwits,HD,1.826,1.275,0.551,5,2,2.5,17,3496,8/24/16,01:12.7
98,stocktwits,HD,2.036667,0,2.036667,3,0,0,15,3496,8/23/16,01:13.5
99,stocktwits,HD,1.98,2,-0.02,2,1,2,10,3496,8/22/16,01:28.5
100,stocktwits,HD,1.413333,0,1.413333,3,0,0,6,3496,8/21/16,01:17.9
101,stocktwits,HD,1.774,0,1.774,5,0,0,13,3496,8/20/16,01:18.5
102,stocktwits,HD,1.895,1.9,-0.005,10,1,10,24,3496,8/19/16,01:14.6
103,stocktwits,HD,1.661,2.025714,-0.364714,10,7,1.4286,30,3496,8/18/16,01:32.3
104,stocktwits,HD,1.856842,1.885,-0.028158,19,6,3.1667,80,3496,8/17/16,01:15.4
105,stocktwits,HD,2.182049,1.899211,0.282839,122,38,3.2105,347,3496,8/16/16,01:29.1
106,stocktwits,HD,1.962143,1.818333,0.14381,42,18,2.3333,179,3496,8/15/16,01:28.5
107,stocktwits,HD,2.452,2.105,0.347,10,4,2.5,52,3496,8/14/16,01:12.9
108,stocktwits,HD,2.322857,1.394,0.928857,7,5,1.4,37,3496,8/13/16,01:15.9
109,stocktwits,HD,2.345333,2.1625,0.182833,30,4,7.5,65,3496,8/12/16,01:28.7
110,stocktwits,HD,2.060667,1.67,0.390667,15,2,7.5,38,3496,8/11/16,01:27.4
111,stocktwits,HD,2.15,1.9,0.25,4,4,1,26,3496,8/10/16,01:27.7
112,stocktwits,HD,2.218,1.67,0.548,5,2,2.5,14,3496,8/9/16,01:27.2
113,stocktwits,HD,2.28,1.67,0.61,5,2,2.5,16,3496,8/8/16,01:26.5
114,stocktwits,HD,2.141667,1.67,0.471667,6,2,3,22,3496,8/7/16,01:17.0
115,stocktwits,HD,2.266667,1.313333,0.953333,6,3,2,17,3496,8/6/16,01:21.7
116,stocktwits,HD,1.8875,1.67,0.2175,4,1,4,6,3496,8/5/16,01:23.1
117,stocktwits,HD,1.733333,1.035,0.698333,3,2,1.5,18,3496,8/4/16,01:23.1
118,stocktwits,HD,1.68,1.49,0.19,3,3,1,12,3496,8/3/16,01:23.3
119,stocktwits,HD,1.968,0,1.968,5,0,0,13,3496,8/2/16,01:23.6
120,stocktwits,HD,1.413333,1.12,0.293333,3,4,0.75,14,3496,8/1/16,01:22.6
121,stocktwits,HD,2.15,0,2.15,1,0,0,6,3496,7/31/16,01:18.1
122,stocktwits,HD,1.9025,0,1.9025,4,0,0,7,3496,7/30/16,01:22.8
123,stocktwits,HD,2.485,0,2.485,4,0,0,10,3496,7/29/16,01:22.4
124,stocktwits,HD,2.13,2.56,-0.43,4,1,4,15,3496,7/28/16,01:22.2
125,stocktwits,HD,2.24,1.48,0.76,1,1,1,8,3496,7/27/16,01:24.1
126,stocktwits,HD,2.09,2.06,0.03,1,1,1,6,3496,7/26/16,01:24.3
127,stocktwits,HD,1.9,0,1.9,1,0,0,13,3496,7/25/16,01:22.6
128,stocktwits,HD,2.63,0,2.63,3,0,0,7,3496,7/24/16,01:18.0
129,stocktwits,HD,1.165,0,1.165,2,0,0,4,3496,7/23/16,01:17.8
130,stocktwits,HD,2.41,0,2.41,1,0,0,3,3496,7/22/16,01:28.3
131,stocktwits,HD,2.53,2.01,0.52,3,3,1,13,3496,7/21/16,01:29.1
132,stocktwits,HD,2.063333,2.18,-0.116667,3,2,1.5,11,3496,7/20/16,01:27.3
133,stocktwits,HD,1.7925,1.846667,-0.054167,4,3,1.3333,13,3496,7/19/16,01:26.6
134,stocktwits,HD,1.5425,1.67,-0.1275,4,1,4,13,3496,7/18/16,01:27.2
135,stocktwits,HD,0,0,0,0,0,0,2,3496,7/17/16,01:03.9
136,stocktwits,HD,1.666667,0.8,0.866667,3,1,3,5,3496,7/16/16,01:16.2
137,stocktwits,HD,1.593333,2.5,-0.906667,3,1,3,7,3496,7/15/16,01:29.5
138,stocktwits,HD,2.71,0,2.71,1,0,0,7,3496,7/14/16,01:28.1
139,stocktwits,HD,1.904,1.83,0.074,5,2,2.5,11,3496,7/13/16,01:25.8
140,stocktwits,HD,2.1775,1.7625,0.415,4,4,1,16,3496,7/12/16,01:30.0
141,stocktwits,HD,0.74,2.4,-1.66,1,1,1,17,3496,7/11/16,01:27.3
142,stocktwits,HD,2.44,0,2.44,1,0,0,3,3496,7/10/16,01:28.4
143,stocktwits,HD,1.713333,0,1.713333,3,0,0,7,3496,7/9/16,01:27.5
144,stocktwits,HD,1.546,0,1.546,5,0,0,23,3496,7/8/16,01:28.8
145,stocktwits,HD,2.15,1.6,0.55,4,1,4,11,3496,7/7/16,01:29.6
146,stocktwits,HD,2.216667,2.75,-0.533333,6,1,6,23,3496,7/6/16,01:26.5
147,stocktwits,HD,2.272,1.39,0.882,5,1,5,9,3496,7/5/16,01:29.5
148,stocktwits,HD,0,0,0,0,0,0,5,3496,7/4/16,01:28.4
149,stocktwits,HD,2.25,0,2.25,1,0,0,4,3496,7/3/16,01:27.8
150,stocktwits,HD,0,0,0,0,0,0,5,3496,7/2/16,01:30.1
151,stocktwits,HD,1.944286,0,1.944286,7,0,0,15,3496,7/1/16,01:29.6
152,stocktwits,HD,2.125,2.11,0.015,2,3,0.6667,9,3496,6/30/16,01:29.3
153,stocktwits,HD,1.826,2.03125,-0.20525,5,8,0.625,33,3496,6/29/16,01:29.7
154,stocktwits,HD,2.84,0,2.84,2,0,0,6,3496,6/28/16,01:26.4
155,stocktwits,HD,1.812,2.33,-0.518,5,2,2.5,27,3496,6/27/16,01:30.6
156,stocktwits,HD,1.545,0,1.545,2,0,0,3,3496,6/26/16,01:25.8
157,stocktwits,HD,1.836667,2.67,-0.833333,3,1,3,8,3496,6/25/16,01:27.7
158,stocktwits,HD,1.475,2.39,-0.915,6,1,6,24,3496,6/24/16,01:23.3
159,stocktwits,HD,1.576667,1.6,-0.023333,15,6,2.5,61,3496,6/23/16,01:27.5
160,stocktwits,HD,2.025,2.75,-0.725,4,2,2,13,3496,6/22/16,01:10.2
161,stocktwits,HD,2.105,0,2.105,2,0,0,9,3496,6/21/16,01:08.7
162,stocktwits,HD,2.44,0.16,2.28,1,1,1,13,3496,6/20/16,01:10.0
