,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
72,stocktwits,ANIK,2.11,0,2.11,1,0,0,4,8910,7/25/16,01:22.6
73,stocktwits,ANIK,0,0,0,0,0,0,1,8910,7/24/16,01:18.0
74,stocktwits,ANIK,0,0,0,0,0,0,1,8910,7/23/16,01:17.8
75,stocktwits,ANIK,0,0,0,0,0,0,1,8910,7/22/16,01:28.3
76,stocktwits,ANIK,0,0,0,0,0,0,2,8910,7/21/16,01:29.1
77,stocktwits,ANIK,0,0,0,0,0,0,2,8910,7/20/16,01:27.3
78,stocktwits,ANIK,0,1.67,-1.67,0,1,0,4,8910,7/19/16,01:26.6
79,stocktwits,ANIK,0,0,0,0,0,0,3,8910,7/18/16,01:27.2
80,stocktwits,ANIK,0,0,0,0,0,0,1,8910,7/14/16,01:28.1
81,stocktwits,ANIK,0,0,0,0,0,0,1,8910,7/13/16,01:25.8
82,stocktwits,ANIK,0,0,0,0,0,0,1,8910,7/12/16,01:30.0
83,stocktwits,ANIK,0,1.67,-1.67,0,1,0,1,8910,7/11/16,01:27.3
84,stocktwits,ANIK,0,0,0,0,0,0,1,8910,7/6/16,01:26.5
85,stocktwits,ANIK,0,0,0,0,0,0,4,8910,7/4/16,01:28.4
86,stocktwits,ANIK,2.1,0,2.1,1,0,0,2,8910,7/3/16,01:27.8
87,stocktwits,ANIK,0,0,0,0,0,0,2,8910,7/2/16,01:30.1
88,stocktwits,ANIK,0,0,0,0,0,0,4,8910,7/1/16,01:29.6
89,stocktwits,ANIK,0,0,0,0,0,0,1,8910,6/30/16,01:29.3
90,stocktwits,ANIK,3.03,0,3.03,1,0,0,4,8910,6/29/16,01:29.7
91,stocktwits,ANIK,2.245,0,2.245,2,0,0,3,8910,6/28/16,01:26.4
92,stocktwits,ANIK,0,1.96,-1.96,0,1,0,3,8910,6/27/16,01:30.6
93,stocktwits,ANIK,0,0,0,0,0,0,1,8910,6/26/16,01:25.8
94,stocktwits,ANIK,1.8,0,1.8,1,0,0,1,8910,6/25/16,01:27.7
95,stocktwits,ANIK,0,0,0,0,0,0,3,8910,6/23/16,01:27.5
96,stocktwits,ANIK,2.2,0,2.2,1,0,0,1,8910,6/21/16,01:08.7
97,stocktwits,ANIK,0,0,0,0,0,0,3,8910,6/20/16,01:10.0
98,stocktwits,ANIK,0,0.88,-0.88,0,1,0,2,8910,6/18/16,01:09.2
99,stocktwits,ANIK,0,0,0,0,0,0,1,8910,6/16/16,01:11.0
100,stocktwits,ANIK,2.89,0,2.89,1,0,0,1,8910,6/15/16,01:06.3
101,stocktwits,ANIK,2.135,0,2.135,2,0,0,3,8910,6/14/16,01:09.7
102,stocktwits,ANIK,0,2.11,-2.11,0,1,0,2,8910,6/13/16,01:11.8
103,stocktwits,ANIK,0,0,0,0,0,0,1,8910,6/12/16,01:10.3
104,stocktwits,ANIK,1.67,2,-0.33,1,1,1,3,8910,6/10/16,01:10.8
105,stocktwits,ANIK,2.21,0,2.21,2,0,0,6,8910,6/9/16,01:09.3
106,stocktwits,ANIK,1.926667,0,1.926667,3,0,0,8,8910,6/8/16,01:43.6
107,stocktwits,ANIK,0,0,0,0,0,0,5,8910,6/6/16,01:10.1
108,stocktwits,ANIK,0,0,0,0,0,0,1,8910,6/3/16,01:07.0
109,stocktwits,ANIK,0,0,0,0,0,0,1,8910,6/2/16,01:10.1
110,stocktwits,ANIK,0,0,0,0,0,0,4,8910,6/1/16,01:01.3
111,stocktwits,ANIK,0,0,0,0,0,0,1,8910,5/31/16,01:01.3
112,stocktwits,ANIK,1.82,0,1.82,1,0,0,1,8910,5/30/16,00:59.5
113,stocktwits,ANIK,1.82,0,1.82,1,0,0,1,8910,5/28/16,01:11.5
114,stocktwits,ANIK,0,0,0,0,0,0,1,8910,5/26/16,01:01.2
115,stocktwits,ANIK,2.23,0.7,1.53,1,1,1,4,8910,5/24/16,01:00.7
116,stocktwits,ANIK,0.48,0,0.48,1,0,0,3,8910,5/23/16,01:01.8
117,stocktwits,ANIK,0,0,0,0,0,0,1,8910,5/20/16,00:58.2
