,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
63,stocktwits,XLF,0,1.623333,-1.623333,0,3,0,11,19656,9/11/16,01:10.7
64,stocktwits,XLF,1.545,0,1.545,2,0,0,11,19656,9/10/16,01:19.8
65,stocktwits,XLF,1.131,2.268333,-1.137333,10,6,1.6667,37,19656,9/9/16,01:18.8
66,stocktwits,XLF,2.167143,1.965,0.202143,7,4,1.75,29,19656,9/8/16,01:10.8
67,stocktwits,XLF,2.7325,1.79,0.9425,4,4,1,25,19656,9/7/16,01:11.5
68,stocktwits,XLF,2.145,0.87,1.275,6,6,1,39,19656,9/6/16,01:28.2
69,stocktwits,XLF,1.91,0,1.91,5,0,0,15,19656,9/5/16,01:10.3
70,stocktwits,XLF,0,0,0,0,0,0,12,19656,9/4/16,01:09.7
71,stocktwits,XLF,2.536667,1.44,1.096667,3,1,3,20,19656,9/3/16,01:16.5
72,stocktwits,XLF,1.915,2.064,-0.149,6,5,1.2,28,19656,9/2/16,01:21.9
73,stocktwits,XLF,1.8,1.61625,0.18375,9,8,1.125,48,19656,9/1/16,01:12.3
74,stocktwits,XLF,2.088889,2.02875,0.060139,18,8,2.25,78,19656,8/31/16,01:13.0
75,stocktwits,XLF,1.951515,2.308,-0.356485,33,5,6.6,101,19656,8/30/16,01:28.3
76,stocktwits,XLF,1.9995,2.376667,-0.377167,20,6,3.3333,83,19656,8/29/16,01:22.0
77,stocktwits,XLF,1.96,0,1.96,1,0,0,7,19656,8/28/16,01:13.6
78,stocktwits,XLF,1.4,0,1.4,1,0,0,9,19656,8/27/16,01:17.7
79,stocktwits,XLF,1.512143,0,1.512143,14,0,0,36,19656,8/26/16,01:13.1
80,stocktwits,XLF,2.054,2,0.054,5,1,5,36,19656,8/25/16,01:12.0
81,stocktwits,XLF,2.185,2.29,-0.105,2,2,1,27,19656,8/24/16,01:12.7
82,stocktwits,XLF,2.263333,2,0.263333,6,1,6,29,19656,8/23/16,01:13.5
83,stocktwits,XLF,1.9,0,1.9,1,0,0,17,19656,8/22/16,01:28.5
84,stocktwits,XLF,0,0,0,0,0,0,12,19656,8/21/16,01:17.9
85,stocktwits,XLF,1.3,0,1.3,1,0,0,7,19656,8/20/16,01:18.5
86,stocktwits,XLF,0,1.665,-1.665,0,2,0,9,19656,8/19/16,01:14.6
87,stocktwits,XLF,2.413333,2.79,-0.376667,6,1,6,17,19656,8/18/16,01:32.3
88,stocktwits,XLF,2.01,2.2,-0.19,6,2,3,20,19656,8/17/16,01:15.4
89,stocktwits,XLF,1.94,2.2,-0.26,2,1,2,20,19656,8/16/16,01:29.1
90,stocktwits,XLF,2.12,2.4,-0.28,2,1,2,12,19656,8/15/16,01:28.5
91,stocktwits,XLF,2.655,0,2.655,2,0,0,9,19656,8/14/16,01:12.9
92,stocktwits,XLF,0,0,0,0,0,0,2,19656,8/13/16,01:15.9
93,stocktwits,XLF,2.01,0,2.01,3,0,0,21,19656,8/12/16,01:28.7
94,stocktwits,XLF,2.155,2.555,-0.4,4,2,2,20,19656,8/11/16,01:27.4
95,stocktwits,XLF,2.476667,0.7,1.776667,3,1,3,20,19656,8/10/16,01:27.7
96,stocktwits,XLF,2.333333,2,0.333333,3,1,3,25,19656,8/9/16,01:27.2
97,stocktwits,XLF,2.191111,2.39,-0.198889,9,2,4.5,36,19656,8/8/16,01:26.5
