Period,Free Cash Flow (Quarterly)
2016-09-30,-36.2030
2016-06-30,24.4820
2016-03-31,-50.8310
2015-12-31,23.4110
2015-09-30,-54.6840
2015-06-30,4.4250
2015-03-31,69.7540
2014-12-31,-86.2350
2014-09-30,5.5810
2014-06-30,21.0160
2014-03-31,-39.6200
2013-12-31,12.0480
2013-09-30,-11.2000
2013-06-30,-46.1650
2013-03-31,7.2120
2012-12-31,40.7930
2012-09-30,-3.5260
