Period,Debt to Equity Ratio (Quarterly)
2016-09-30,3.1245
2016-06-30,3.3487
2016-03-31,3.0181
2015-12-31,2.6181
2015-09-30,2.8986
2015-06-30,2.6268
2015-03-31,2.4697
2014-12-31,2.8829
2014-09-30,2.5268
2014-06-30,2.7337
2014-03-31,2.5023
2013-12-31,2.0022
2013-09-30,1.9681
2013-06-30,2.8856
