Period,Debt to Equity Ratio (Quarterly)
2016-09-30,0.0263
2016-06-30,0.0268
2016-03-31,0.0312
2015-12-31,0.0405
2015-09-30,0.0421
2015-06-30,0.0475
2015-03-31,0.0524
2014-12-31,0.0572
2014-09-30,0.0589
2014-06-30,0.0640
2014-03-31,0.0696
2013-12-31,0.0745
2013-09-30,0.0856
2013-06-30,0.0923
2013-03-31,0.0990
2012-12-31,0.1048
2012-09-30,0.1041
2012-06-30,0.1124
2012-03-31,0.1203
2011-12-31,0.0976
