,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
75,stocktwits,EML,0,0,0,0,0,0,1,2526,12/10/15 5:00,00:00.0
76,stocktwits,EML,1.9,0,1.9,1,0,0,2,2526,11/9/15 5:00,00:00.0
77,stocktwits,EML,0,0,0,0,0,0,1,2526,11/6/15 5:00,00:00.0
78,stocktwits,EML,2.88,0,2.88,1,0,0,4,2526,10/30/15 4:00,00:00.0
79,stocktwits,EML,0.89,0,0.89,1,0,0,1,2526,10/29/15 4:00,00:00.0
80,stocktwits,EML,1.7,0,1.7,1,0,0,3,2526,10/28/15 4:00,00:00.0
81,stocktwits,EML,0,0,0,0,0,0,1,2526,10/23/15 4:00,00:00.0
82,stocktwits,EML,0,0,0,0,0,0,2,2526,10/9/15 4:00,00:00.0
83,stocktwits,EML,0,0,0,0,0,0,1,2526,10/2/15 4:00,00:00.0
84,stocktwits,EML,1.9,0,1.9,1,0,0,2,2526,10/1/15 4:00,00:00.0
85,stocktwits,EML,1.9,0,1.9,2,0,0,3,2526,9/30/15 4:00,00:00.0
86,stocktwits,EML,1.9,0,1.9,1,0,0,6,2526,9/14/15 4:00,00:00.0
87,stocktwits,EML,1.9,0,1.9,1,0,0,2,2526,9/3/15 4:00,00:00.0
88,stocktwits,EML,1.9,0,1.9,1,0,0,3,2526,8/24/15 4:00,00:00.0
89,stocktwits,EML,0,0,0,0,0,0,3,2526,8/11/15 4:00,00:00.0
90,stocktwits,EML,0,0,0,0,0,0,1,2526,8/10/15 4:00,00:00.0
91,stocktwits,EML,0,0,0,0,0,0,1,2526,8/8/15 4:00,00:00.0
92,stocktwits,EML,0,0,0,0,0,0,3,2526,8/7/15 4:00,00:00.0
93,stocktwits,EML,0,0,0,0,0,0,1,2526,8/6/15 4:00,00:00.0
94,stocktwits,EML,1.9,0,1.9,2,0,0,6,2526,8/5/15 4:00,00:00.0
95,stocktwits,EML,0,0,0,0,0,0,2,2526,7/31/15 4:00,00:00.0
96,stocktwits,EML,0.89,0,0.89,1,0,0,3,2526,7/30/15 4:00,00:00.0
97,stocktwits,EML,0,0,0,0,0,0,3,2526,7/29/15 4:00,00:00.0
98,stocktwits,EML,0,0,0,0,0,0,1,2526,7/17/15 4:00,00:00.0
99,stocktwits,EML,0,0,0,0,0,0,3,2526,7/13/15 4:00,00:00.0
100,stocktwits,EML,1.9,0,1.9,3,0,0,4,2526,7/2/15 4:00,00:00.0
101,stocktwits,EML,0,0,0,0,0,0,1,2526,6/18/15 4:00,00:00.0
102,stocktwits,EML,0,0,0,0,0,0,1,2526,6/13/15 4:00,00:00.0
103,stocktwits,EML,1.9,2.11,-0.21,1,1,1,4,2526,6/12/15 4:00,00:00.0
104,stocktwits,EML,1.9,0,1.9,1,0,0,3,2526,6/11/15 4:00,00:00.0
105,stocktwits,EML,1.9,0,1.9,1,0,0,2,2526,6/5/15 4:00,00:00.0
106,stocktwits,EML,1.9,0,1.9,1,0,0,3,2526,6/3/15 4:00,00:00.0
107,stocktwits,EML,0,0,0,0,0,0,2,2526,6/1/15 4:00,00:00.0
108,stocktwits,EML,0,0,0,0,0,0,1,2526,5/30/15 4:00,00:00.0
109,stocktwits,EML,1.9,0,1.9,1,0,0,6,2526,5/29/15 4:00,00:00.0
110,stocktwits,EML,0,0,0,0,0,0,1,2526,5/28/15 4:00,00:00.0
111,stocktwits,EML,0,0,0,0,0,0,3,2526,5/27/15 4:00,00:00.0
112,stocktwits,EML,0,0,0,0,0,0,7,2526,5/26/15 4:00,00:00.0
113,stocktwits,EML,0,0,0,0,0,0,1,2526,5/22/15 4:00,00:00.0
114,stocktwits,EML,0,0,0,0,0,0,3,2526,5/19/15 4:00,00:00.0
115,stocktwits,EML,0,0,0,0,0,0,3,2526,5/14/15 4:00,00:00.0
116,stocktwits,EML,0,0,0,0,0,0,3,2526,5/13/15 4:00,00:00.0
117,stocktwits,EML,0,0,0,0,0,0,3,2526,5/8/15 4:00,00:00.0
118,stocktwits,EML,0,0,0,0,0,0,8,2526,5/1/15 4:00,00:00.0
119,stocktwits,EML,0,0,0,0,0,0,2,2526,4/29/15 4:00,00:00.0
120,stocktwits,EML,0,0,0,0,0,0,3,2526,4/28/15 4:00,4/29/15 4:00
121,stocktwits,EML,0,0,0,0,0,0,2,2526,4/23/15 4:00,4/24/15 4:00
122,stocktwits,EML,0,0,0,0,0,0,1,2526,4/20/15 4:00,4/21/15 4:00
123,stocktwits,EML,0,0,0,0,0,0,1,2526,4/14/15 4:00,4/15/15 4:00
124,stocktwits,EML,0,0,0,0,0,0,6,2526,4/13/15 4:00,4/14/15 4:00
125,stocktwits,EML,0,0,0,0,0,0,8,2526,4/10/15 4:00,4/11/15 4:00
126,stocktwits,EML,0,0,0,0,0,0,2,2526,4/8/15 4:00,4/9/15 4:00
127,stocktwits,EML,0,0.48,-0.48,0,1,0,1,2526,4/7/15 4:00,4/8/15 4:00
128,stocktwits,EML,0,0,0,0,0,0,1,2526,4/5/15 4:00,4/6/15 4:00
129,stocktwits,EML,0,0.7,-0.7,0,1,0,1,2526,4/2/15 4:00,4/3/15 4:00
130,stocktwits,EML,0,0,0,0,0,0,3,2526,4/1/15 4:00,4/2/15 4:00
131,stocktwits,EML,0,0,0,0,0,0,1,2526,3/31/15 4:00,4/1/15 4:00
132,stocktwits,EML,0,0,0,0,0,0,5,2526,3/30/15 4:00,3/31/15 4:00
133,stocktwits,EML,0,0,0,0,0,0,3,2526,3/27/15 4:00,3/28/15 4:00
134,stocktwits,EML,0,0,0,0,0,0,4,2526,3/20/15 4:00,3/21/15 4:00
135,stocktwits,EML,1.9,0,1.9,1,0,0,2,2526,3/17/15 4:00,3/18/15 4:00
136,stocktwits,EML,0,0,0,0,0,0,1,2526,3/16/15 4:00,3/17/15 4:00
137,stocktwits,EML,0,0,0,0,0,0,2,2526,3/13/15 4:00,3/14/15 4:00
138,stocktwits,EML,0,0,0,0,0,0,1,2526,3/11/15 4:00,3/12/15 4:00
139,stocktwits,EML,0,0,0,0,0,0,2,2526,3/10/15 4:00,3/11/15 4:00
140,stocktwits,EML,0,0,0,0,0,0,2,2526,3/9/15 4:00,3/10/15 4:00
141,stocktwits,EML,0,0,0,0,0,0,3,2526,3/5/15 5:00,3/6/15 5:00
142,stocktwits,EML,0,0,0,0,0,0,4,2526,3/3/15 5:00,3/4/15 5:00
143,stocktwits,EML,0,0,0,0,0,0,2,2526,3/2/15 5:00,3/3/15 5:00
144,stocktwits,EML,2.15,0,2.15,1,0,0,3,2526,2/23/15 5:00,2/24/15 5:00
