Period,Free Cash Flow (Quarterly)
2016-09-30,2.1671
2016-06-30,4.6761
2016-03-31,0.3195
2015-12-31,4.9906
2015-09-30,1.8608
2015-06-30,0.2370
2015-03-31,-0.4933
2014-12-31,0.9933
2014-09-30,3.1869
2014-06-30,1.8106
2014-03-31,-0.2767
2013-12-31,2.0604
2013-09-30,1.9207
2013-06-30,2.3628
2013-03-31,-0.5506
2012-12-31,2.2088
2012-09-30,4.1973
2012-06-30,2.5072
2012-03-31,0.5156
2011-12-31,-0.6635
