Period,Open Price,High Price,Low Price,Close Price,Volume,RSI [14],SMA [50],SMA [200],Aroon Oscillator [25],CMF [20],"MACD (12,26,9) - MACD","MACD (12,26,9) - SIGNAL","MACD (12,26,9) - DIVERGENCE",ROC [12],Williams %R [14]
2016-12-01 00:00:00,,,,68.215,,41.5746759849,70.0269,70.827045,,,-0.236348934336,-0.160006973235,-0.0763419611009,-2.92443432475,
2016-11-30 00:00:00,69.46,69.48,68.72,68.75,8640377.0,44.6466376913,70.1184,70.81597,19.999999999999996,-0.07271101307582659,-0.157663704249,-0.14092148296,-0.0167422212891,-2.46843523904,-77.62237762237773
2016-11-29 00:00:00,69.12,69.61,69.11,69.41,7087554.0,48.7751232535,70.1848,70.80427,20.0,-0.04909512184556395,-0.109412174876,-0.136735927637,0.0273237527614,-3.00447177194,-62.2377622377624
2016-11-28 00:00:00,69.35,69.36,68.85,68.96,6492883.0,45.5897009241,70.2336,70.78512,20.000000000000007,-0.08751151856726182,-0.113434227569,-0.143566865828,0.0301326382585,-2.57134783837,-70.4288939051921
2016-11-25 00:00:00,69.41,69.54,69.205,69.48,4009283.0,48.8491906547,70.2966,70.76217,20.0,-0.09999814876569456,-0.0710996951513,-0.151100025392,0.0800003302411,1.62351908732,-52.845528455284416
2016-11-23 00:00:00,67.79,69.22,67.79,69.21,13676020.0,47.0230006257,70.3538,70.73237,20.0,-0.11616085598180043,-0.068976714572,-0.171100107953,0.102123393381,1.51070695219,-48.23529411764711
2016-11-22 00:00:00,69.92,69.92,68.4735,68.94,14522066.0,45.206490203,70.4016,70.70912,20.0,-0.1634790332892778,-0.0377728126024,-0.196630956298,0.158858143696,3.70036101083,-51.307189542483634
2016-11-21 00:00:00,69.85,70.02,69.765,69.95,6791829.0,51.3187137057,70.4548,70.684374,20.0,-0.16486640064636673,0.030095045004,-0.236345492222,0.266440537226,5.95274159346,-34.80392156862735
2016-11-18 00:00:00,70.51,70.699,69.66,69.7,12185025.0,49.7573468614,70.5072,70.652224,19.999999999999993,-0.196564832268519,0.0134450007851,-0.302955626528,0.316400627313,4.57614403601,-38.888888888888786
2016-11-17 00:00:00,70.22,70.469,70.015,70.45,12856186.0,54.6391889017,70.5434,70.625724,20.0,-0.16711992867935158,0.017452471607,-0.382055783357,0.399508254964,5.14925373134,-26.63398692810448
2016-11-16 00:00:00,70.29,70.63,70.08,70.17,7585042.0,53.0420308366,70.5938,70.601874,20.0,-0.20240868654091168,-0.0540500288582,-0.481932847097,0.427882818239,4.1716152019,-31.209150326797307
2016-11-15 00:00:00,70.54,70.54,69.815,70.47,10354522.0,54.9675691237,70.6486,70.581224,20.0,-0.20256461263257802,-0.116017947214,-0.588903551657,0.472885604443,3.96872233697,-26.307189542483634
2016-11-14 00:00:00,70.8,70.88,70.13,70.27,17379122.0,53.9323016077,70.6974,70.556924,20.0,-0.22572520453282668,-0.223969465592,-0.707124952768,0.483155487176,1.42898383372,-29.575163398692826
2016-11-11 00:00:00,71.36,71.36,70.18,70.49,15854232.0,55.2291938795,70.745,70.538424,-72.0,-0.20344780960963846,-0.338133484096,-0.827913824562,0.489780340466,2.2186774942,-25.98039215686278
2016-11-10 00:00:00,71.94,72.08,71.06,71.56,28330970.0,61.9578389905,70.7866,70.518324,-72.0,-0.21029330846074024,-0.501329980671,-0.950358909678,0.449028929007,3.14211588354,-8.49673202614372
2016-11-09 00:00:00,71.31,71.57,69.26,70.78,49730878.0,58.5386037282,70.8106,70.487524,-72.0,-0.19765482535199494,-0.811281436582,-1.06261614193,0.251334705348,1.72463351538,-14.081996434937471
2016-11-08 00:00:00,67.74,68.825,67.65,68.37,15942927.0,44.1318625584,70.8546,70.468424,-72.0,-0.3358920213964704,-1.11567356487,-1.12544981827,0.00977625340069,-1.92224931861,-47.03296703296693
2016-11-07 00:00:00,67.2,68.365,67.16,68.18,17367791.0,42.6736253245,70.9518,70.465224,-72.0,-0.39114163331403085,-1.2425788113,-1.12789388162,-0.11468492968,-3.00184948072,-51.20879120879104
2016-11-04 00:00:00,66.2,67.025,66.13,66.48,21382560.0,26.7995527355,71.0496,70.460424,-72.0,-0.45747345442751897,-1.36713672494,-1.0992226492,-0.267914075743,-4.97427101201,-88.57142857142838
2016-11-03 00:00:00,66.87,67.15,65.96,66.02,22074152.0,21.3257285937,71.1758,70.467274,-72.0,-0.45533884426073185,-1.33314138236,-1.03224413026,-0.300897252093,-5.98120193677,-98.68131868131863
2016-11-02 00:00:00,66.87,67.385,66.65,66.65,17942887.0,23.566914408,71.3236,70.471124,-92.0,-0.35814688944280176,-1.22352345226,-0.957019817238,-0.266503635019,-3.94869577749,-95.78163771712155
2016-11-01 00:00:00,67.4,67.59,66.48,67.0,14908656.0,24.9178260632,71.4822,70.472824,-96.0,-0.26881017603085694,-1.12995986217,-0.890393908483,-0.239565953689,-3.76328641195,-87.09677419354848
2016-10-31 00:00:00,67.76,67.77,67.335,67.36,12688999.0,26.3610604721,71.6324,70.472124,-92.0,-0.26959215519820295,-1.02973928192,-0.830502420061,-0.199236861863,-3.89499215295,-99.2592592592591
2016-10-28 00:00:00,68.45,68.64,67.48,67.78,18456450.0,28.125856803,71.7724,70.469674,-96.0,-0.16670535535402498,-0.923497897215,-0.780693204595,-0.142804692619,-3.25435341136,-93.13501144164763
2016-10-27 00:00:00,69.49,69.76,69.1,69.28,6974728.0,36.1523426592,71.9052,70.469874,-92.0,-0.10547841709112406,-0.817226196772,-0.744992031441,-0.0722341653314,-1.57692854099,-83.84512683578096
2016-10-26 00:00:00,69.27,69.38,68.675,68.96,8067553.0,32.3266376998,72.0074,70.453724,-96.0,-0.12202716100076355,-0.822425208981,-0.726933490108,-0.0954917188733,-4.48753462604,-92.38985313751678
2016-10-25 00:00:00,69.5,69.71,69.29,69.38,7922100.0,34.8733178533,72.113,70.449274,-68.0,-0.10224190427108759,-0.784516672433,-0.703060560389,-0.0814561120441,-3.46458884096,-95.59748427672955
2016-10-24 00:00:00,70.02,70.09,69.58,69.58,7340389.0,36.1319574182,72.2236,70.438424,-68.0,-0.034168319313145366,-0.767484079641,-0.682696532378,-0.0847875472627,-3.25361512792,-89.30817610062884
2016-10-21 00:00:00,69.93,69.93,69.53,69.71,5502157.0,36.9365823653,72.3276,70.430624,-68.0,-0.011113403153572012,-0.754944529137,-0.661499645563,-0.0934448835741,-3.43537886134,-85.22012578616359
2016-10-20 00:00:00,70.05,70.51,69.92,70.29,6869927.0,40.6905975916,72.4328,70.427374,-68.0,-0.03574474773211273,-0.74119485516,-0.638138424669,-0.103056430491,-2.25281602003,-66.98113207547142
2016-10-19 00:00:00,70.31,70.37,69.935,69.96,5296697.0,37.3252232485,72.5177,70.428374,-68.0,-0.031671108100345485,-0.771918800664,-0.612374317046,-0.159544483618,-2.90076335878,-77.35849056603782
2016-10-18 00:00:00,70.03,70.37,69.86,70.22,5495839.0,38.9418165018,72.6143,70.433924,-68.0,0.029875516716525736,-0.766305817643,-0.572488196142,-0.193817621501,-2.62099570101,-71.34502923976598
2016-10-17 00:00:00,69.51,69.65,69.24,69.39,8462992.0,29.9481205668,72.7021,70.436474,-68.0,-0.00547661538957229,-0.774468071058,-0.524033790767,-0.250434280291,-2.78789576912,-95.84487534626022
2016-10-14 00:00:00,70.25,70.44,69.6,69.62,8382388.0,31.1279236693,72.8193,70.449674,-60.0,-0.03315264653060728,-0.689111993474,-0.461425220694,-0.22768677278,-4.18387007982,-94.16909620991244
2016-10-13 00:00:00,69.65,70.35,69.42,70.09,13623090.0,33.6428050066,72.9283,70.464974,-60.0,0.0341493122306285,-0.593561334543,-0.404503527499,-0.189057807044,-3.68283633365,-80.74712643678158
2016-10-12 00:00:00,70.43,70.71,69.99,70.06,11746381.0,33.3235198536,73.0301,70.479474,-56.0,0.037858693809055065,-0.510824874096,-0.357239075738,-0.153585798358,-3.04456130639,-97.95321637426879
2016-10-11 00:00:00,71.85,71.85,70.08,70.39,12499679.0,35.045928833,73.1367,70.489724,-52.0,0.07326410343120543,-0.394738339139,-0.318842626148,-0.0758957129905,-3.720421283,-90.85545722713859
2016-10-10 00:00:00,72.0,72.42,72.0,72.2,11039462.0,47.5681600037,73.2425,70.500024,32.0,0.10839152755902101,-0.274428058679,-0.299868697901,0.0254406392219,-1.55440414508,-55.21739130434772
2016-10-07 00:00:00,71.85,72.21,71.45,71.87,9920420.0,44.1922626027,73.3025,70.500924,32.00000000000001,0.16594564858213504,-0.301167619857,-0.306228857706,0.00506123784976,-1.26390987773,-69.56521739130419
2016-10-06 00:00:00,71.95,72.02,71.49,71.92,9150560.0,44.5962462881,73.3661,70.499624,31.999999999999996,0.0826792842510001,-0.297316403471,-0.307494167169,0.010177763698,-0.208130983766,-67.39130434782604
2016-10-05 00:00:00,72.1,72.35,71.985,72.19,12630491.0,46.7386578463,73.4301,70.495674,32.0,0.0726447100984989,-0.293167157779,-0.310038608093,0.0168714503146,0.473208072373,-55.6521739130436
