Period,Debt to Equity Ratio (Quarterly)
2013-09-30,0.0655
2013-06-30,0.0737
2013-03-31,0.0815
2012-12-31,0.0881
2012-09-30,0.0966
2012-06-30,0.1032
2012-03-31,0.1099
2011-12-31,0.1182
